horizon,subset,sensor_id,method,n,underprediction_rate,mean_underprediction,worst_underprediction
6h,p95_per_sensor,2,stacking_advanced,12,0.5833333333333334,6.833128842593737,11.288171510076392
6h,p95_per_sensor,4,gru,4,1.0,20.596595039367678,33.28844223022461
6h,p95_per_sensor,4,lightgbm,4,1.0,12.339566687533516,23.205169823473657
6h,p95_per_sensor,4,lstm,4,1.0,17.95129131317139,31.4726921081543
6h,p95_per_sensor,4,random_forest,4,1.0,15.250933895502659,26.73722197971783
6h,p95_per_sensor,4,tft,4,1.0,11.165487041473389,23.163583374023442
6h,p95_per_sensor,4,xgboost,4,1.0,14.9176955,25.294319
6h,p95_per_sensor,4,prophet,4,1.0,28.309604460921673,39.79057351511706
6h,p95_per_sensor,4,persistence,4,1.0,23.095,32.91
6h,p95_per_sensor,4,weighted,4,1.0,11.376707435135613,23.34834293156287
6h,p95_per_sensor,4,stacking_original,4,1.0,11.44065042739275,23.2559330174052
6h,p95_per_sensor,4,stacking_advanced,4,1.0,11.740702781491414,23.671705152525913
6h,p95_per_sensor,5,gru,30,1.0,13.51677872467041,20.872946319580084
6h,p95_per_sensor,5,lightgbm,30,0.9333333333333333,5.362388013302045,12.782197045053657
6h,p95_per_sensor,5,lstm,30,1.0,11.417677149454752,19.222938995361325
6h,p95_per_sensor,5,random_forest,30,0.8666666666666667,8.103573426850907,13.025319188022458
6h,p95_per_sensor,5,tft,30,0.7333333333333333,5.9948416345769715,12.282726745605466
6h,p95_per_sensor,5,xgboost,30,0.8666666666666667,7.07046473076923,13.614598
6h,p95_per_sensor,5,prophet,30,1.0,22.127139356729614,28.1128419053759
6h,p95_per_sensor,5,persistence,30,0.9,14.828148148148149,24.380000000000003
6h,p95_per_sensor,5,weighted,30,0.7333333333333333,6.105982858215203,12.321119282241504
6h,p95_per_sensor,5,stacking_original,30,0.7333333333333333,6.631803056858008,12.884436132139754
6h,p95_per_sensor,5,stacking_advanced,30,0.7666666666666667,6.5962003608100925,13.137006817740563
