horizon,subset,method,n,threshold_p90,threshold_p95,bias_pred_minus_actual,underprediction_rate,mean_underprediction,worst_underprediction
3h,p95,gru,48,33.099999999999994,36.4725,-13.274344868659972,1.0,13.274344868659972,22.087728118896482
3h,p95,lightgbm,48,33.099999999999994,36.4725,-7.967550664935559,0.9166666666666666,8.749093752216256,22.5269881404557
3h,p95,lstm,48,33.099999999999994,36.4725,-13.669134683609007,1.0,13.669134683609007,26.142917251586912
3h,p95,random_forest,48,33.099999999999994,36.4725,-8.121694200444313,0.9583333333333334,8.492220158894733,23.295487632275155
3h,p95,tft,48,33.099999999999994,36.4725,-4.956330087979635,0.9375,5.513599068535699,24.339587783813478
3h,p95,xgboost,48,33.099999999999994,36.4725,-7.547725395833332,0.8958333333333334,8.589683395348837,23.500856000000002
3h,p95,prophet,48,33.099999999999994,36.4725,-26.240738879224892,1.0,26.240738879224892,39.43534518694334
3h,p95,persistence,48,33.099999999999994,36.4725,-8.906666666666666,1.0,8.906666666666666,20.749999999999996
3h,p95,weighted,48,33.099999999999994,36.4725,-4.956330087979635,0.9375,5.513599068535699,24.339587783813478
3h,p95,stacking_original,48,33.099999999999994,36.4725,-5.116085601521029,0.8958333333333334,6.064737126670571,26.224928731653993
3h,p95,stacking_advanced,48,33.099999999999994,36.4725,-4.954780509625486,0.8958333333333334,5.934464260595303,26.335913810909936
6h,all,gru,908,33.22700000000001,35.791999999999994,-1.2492825765231632,0.5418502202643172,4.745692552551022,33.28844223022461
6h,all,lightgbm,908,33.22700000000001,35.791999999999994,0.7178755226331743,0.3975770925110132,2.7451415024991035,23.205169823473657
6h,all,lstm,908,33.22700000000001,35.791999999999994,-1.2925108740298232,0.6299559471365639,3.5671700602978262,31.4726921081543
6h,all,random_forest,908,33.22700000000001,35.791999999999994,0.48729955267077046,0.3975770925110132,3.2340340825586633,26.73722197971783
6h,all,tft,908,33.22700000000001,35.791999999999994,0.31363735106548035,0.4878854625550661,2.303373920449285,23.163583374023442
6h,all,xgboost,908,33.22700000000001,35.791999999999994,0.47564098898678414,0.4107929515418502,2.9487969624664885,25.294319
6h,all,prophet,908,33.22700000000001,35.791999999999994,-12.645722781646516,1.0,12.645722781646516,39.79057351511706
6h,all,persistence,908,33.22700000000001,35.791999999999994,-0.5818942731277533,0.5297356828193832,7.104158004158004,32.91
6h,all,weighted,908,33.22700000000001,35.791999999999994,0.32261580554008495,0.47687224669603523,2.2889258618053674,23.34834293156287
6h,all,stacking_original,908,33.22700000000001,35.791999999999994,0.14249470652047747,0.4889867841409692,2.3476730321045842,23.2559330174052
6h,all,stacking_advanced,908,33.22700000000001,35.791999999999994,0.2458185262681365,0.45594713656387664,2.392934760452604,23.671705152525913
6h,p90,gru,91,33.22700000000001,35.791999999999994,-11.026048662793505,1.0,11.026048662793505,33.28844223022461
6h,p90,lightgbm,91,33.22700000000001,35.791999999999994,-2.8352462826257385,0.6373626373626373,5.580884038733832,23.205169823473657
6h,p90,lstm,91,33.22700000000001,35.791999999999994,-8.130714796296843,0.8571428571428571,9.728446282606857,31.4726921081543
6h,p90,random_forest,91,33.22700000000001,35.791999999999994,-3.484265994059509,0.6483516483516484,7.748286659804125,26.73722197971783
