horizon,method,overall_rmse,overall_mae,overall_median_ae,overall_r2,p90_mae,p90_rmse,p95_mae,p95_rmse,sensor_mean_mae,sensor_worst_mae,sensor_rmse_std,overall_mae_score,overall_rmse_score,overall_median_ae_score,p90_mae_score,p90_rmse_score,p95_mae_score,p95_rmse_score,sensor_mean_mae_score,sensor_worst_mae_score,sensor_rmse_std_score,overall_r2_score,overall_accuracy_score,high_pm_score,sensor_stability_score,final_score,final_score_100,final_rank
1h,prophet,13.670289083788896,12.091679101364228,12.036884848096276,-2.471742876719411,23.38935866829086,23.571139356286768,24.95061379144333,25.143920562066327,12.091679101364228,15.254900383401646,3.2199229248479124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
3h,tft,3.0481449974518013,2.230740307564516,1.798825187683109,0.828400852615724,4.473321852684021,5.738652335854282,5.3816681655248,6.768912993073623,2.230740307564516,2.66257076933793,0.296683646383443,1.0,1.0,0.9951830406960689,1.0,1.0,1.0,1.0,1.0,0.9951423524564007,0.9894804388098971,1.0,0.9987957601740172,1.0,0.9956699330622145,0.9986522906820499,99.86522906820498,1
3h,weighted,3.0481449974518013,2.230740307564516,1.798825187683109,0.828400852615724,4.473321852684021,5.738652335854282,5.3816681655248,6.768912993073623,2.230740307564516,2.66257076933793,0.296683646383443,1.0,1.0,0.9951830406960689,1.0,1.0,1.0,1.0,1.0,0.9951423524564007,0.9894804388098971,1.0,0.9987957601740172,1.0,0.9956699330622145,0.9986522906820499,99.86522906820498,2
3h,stacking_advanced,3.083667582282338,2.251007308238749,1.7528133432959407,0.8243779704345934,4.713160422967169,6.019676470253441,5.677801290607765,7.177671241966121,2.2510073082387496,2.604564000530181,0.26802346283014583,0.9980028768397624,0.9967245151680201,0.9994748375167023,0.9878657394113486,0.9850307160737873,0.9858031487045842,0.9792902675629515,0.9980028768397622,1.0,1.0,0.9988144541213076,0.9981527237512547,0.9849648631621275,0.999201150735905,0.993087264912534,99.3087264912534,3
3h,stacking_original,3.082013714958028,2.249482993076859,1.7471831386359007,0.8245663030860138,4.739666788677847,6.046987397621161,5.74990175043041,7.2198439276127475,2.249482993076859,2.618987075723513,0.2729868167129963,0.9981530838270837,0.9968770158196684,1.0,0.9865246909369028,0.9835759476891086,0.982346596837425,0.9771535888824361,0.9981530838270835,0.9987921717202307,0.9981782285245422,0.9988699558707156,0.9983854048739129,0.9828072936466072,0.9983830507640498,0.9921536895610181,99.21536895610181,4
3h,xgboost,4.024877349006028,3.048036444037656,2.4334955,0.7008085472839223,6.381289791666667,7.73608735729344,7.842124020833332,9.197237751520388,3.048036444037657,3.644022811715481,0.48361320359184246,0.9194631179443125,0.9099369593265151,0.9359835874937176,0.9034693204722027,0.8936028322833861,0.8820438413062898,0.8769689513203702,0.9194631179443122,0.9129528390460424,0.9208689830725048,0.9623984683298756,0.9265786144754098,0.889768305254299,0.9175359866119659,0.9100459652142767,91.00459652142767,5
3h,lightgbm,4.041620638877991,3.078301229319393,2.4286758321950748,0.6983141265526884,6.610189022393751,7.857519813885734,8.072454547460913,9.332955167879046,3.078301229319393,3.6886000563178016,0.6092455590377908,0.9164808067184279,0.9083930854143354,0.9364331464113657,0.8918885188067108,0.8871345019939822,0.8710016175280129,0.8700928298293652,0.9164808067184277,0.90921981706958,0.8747563247877898,0.9616633609902898,0.925094780599622,0.8803125072650866,0.9035083398586715,0.9028645831176179,90.28645831176179,6
3h,random_forest,4.557323573310416,3.565920825140962,2.933963697561518,0.6164132376512497,6.856505140086017,8.073999124686022,8.155061104103924,9.523996228287483,3.565920825140962,3.8704522000660586,0.5378159463148817,0.8684304610430029,0.8608408831295271,0.8893019591493068,0.8794265367504706,0.8756033206082668,0.8670413952450153,0.8604137364868617,0.8684304610430027,0.893991014680935,0.9009741674065104,0.9375271181359082,0.880388023227823,0.8711437910176714,0.8855125814071559,0.877715241979629,87.7715241979629,7
3h,persistence,6.050826061382413,4.3875732217573225,2.9650000000000007,0.3238030323031587,7.032708333333333,9.010238273763909,8.906666666666666,10.29763949488749,4.387573221757322,5.280167364016736,1.3061868363280176,0.7874643103370652,0.7231272350506639,0.8864070196852664,0.8705118093949362,0.8257327652719896,0.8310088426505658,0.8212171084153286,0.7874643103370652,0.7759375608497814,0.6189478998790969,0.8512947087850015,0.8040945186585071,0.8398461703511142,0.7413008454020238,0.8058364446842533,80.58364446842533,8
3h,lstm,4.992133473585078,3.4449523697936884,2.2901195144653315,0.5397261958767617,11.022313375473024,12.065213329122024,13.669134683609007,14.114817754227388,3.444952369793688,4.284265859915123,1.2276648534401988,0.8803507697120287,0.8207477074797629,0.9493571135296457,0.6686639282556854,0.6630037203487575,0.6026924386117998,0.6278198115298566,0.8803507697120286,0.8593371122211034,0.6477689575747162,0.9149273992698455,0.8870236688030937,0.6395716164359684,0.8148505365558768,0.7736082214068002,77.36082214068001,9
