sensor_id,city,feature,pattern_type,period,mean,median,std,min,max,count
1,Tulkarem,o3,hour,2,43.964411764705886,41.480000000000004,11.457655901330446,27.01,66.02,68
1,Tulkarem,o3,hour,3,42.76867647058823,42.195,10.651294351225724,18.31,62.61,68
1,Tulkarem,o3,hour,4,47.16411764705882,46.385000000000005,10.895009022386944,27.23,71.09,68
1,Tulkarem,o3,hour,5,60.39838235294118,60.239999999999995,8.378678806243345,40.17,75.47,68
1,Tulkarem,o3,hour,6,67.65279411764706,68.185,7.812513277951842,47.07,83.35,68
1,Tulkarem,o3,hour,7,73.97544117647057,74.985,8.979388742588105,28.27,87.01,68
1,Tulkarem,o3,hour,8,76.68382352941177,78.19,8.301105668022599,41.84,89.18,68
1,Tulkarem,o3,hour,9,68.44910447761193,72.2,15.435864547779754,4.45,94.02,67
1,Tulkarem,o3,hour,10,61.989999999999995,64.895,13.944096273890336,7.66,78.86,68
1,Tulkarem,o3,hour,11,58.412941176470596,59.07,10.211309366656305,17.67,72.85,68
1,Tulkarem,o3,hour,12,57.72323529411764,59.715,11.738774941953706,8.55,71.15,68
1,Tulkarem,o3,hour,13,55.85808823529412,57.67,11.631799986135913,7.98,73.54,68
1,Tulkarem,o3,hour,14,56.930882352941175,59.725,12.667095431570718,4.93,72.39,68
1,Tulkarem,o3,hour,15,51.16298507462687,53.89,13.916259512997994,0.96,71.62,67
1,Tulkarem,o3,hour,16,46.28454545454546,49.43,15.333000928797908,-2.32,72.11,66
1,Tulkarem,o3,hour,17,48.22691176470588,49.125,9.301613767441943,14.32,70.88,68
1,Tulkarem,o3,hour,18,51.2555223880597,51.23,7.098441417403497,37.19,66.83,67
1,Tulkarem,o3,hour,19,53.42220588235295,54.025,6.5911874330711715,36.86,65.55,68
1,Tulkarem,o3,hour,20,54.91455882352941,55.995000000000005,8.103207847167603,32.04,72.18,68
1,Tulkarem,o3,hour,21,53.868970588235285,54.355000000000004,8.576904277429978,33.45,68.59,68
1,Tulkarem,o3,hour,22,50.848235294117636,52.01,9.993929939983715,27.71,66.62,68
1,Tulkarem,o3,hour,23,49.767794117647064,52.79,10.52819240705473,30.18,67.18,68
1,Tulkarem,o3,day_of_week,Monday,52.96031413612565,52.54,12.364566730262524,29.57,86.95,191
1,Tulkarem,o3,day_of_week,Tuesday,54.22104166666667,55.08,13.267460054262404,24.63,82.23,192
1,Tulkarem,o3,day_of_week,Wednesday,50.40989528795812,49.42,13.449731869349618,27.71,84.91,191
1,Tulkarem,o3,day_of_week,Thursday,53.018745644599306,53.75,14.367835770038486,18.31,94.02,287
1,Tulkarem,o3,day_of_week,Friday,61.41412587412588,60.17,10.768435344075698,38.17,87.95,286
1,Tulkarem,o3,day_of_week,Saturday,61.63303135888502,61.57,8.196244334956948,38.65,89.18,287
1,Tulkarem,o3,day_of_week,Sunday,47.70360824742268,52.43,19.28455467697551,-2.32,83.15,194
