row_index,timestamp,sensor_id,city,feature,value,zscore_flag,mad_flag,iqr_flag,rolling_zscore_flag,isolation_forest_flag,lof_flag,anomaly_methods_triggered,methods,quality_flag,analytical_category
1020,2026-08-16T16:15:00Z,1,Tulkarem,temperature,27.03,False,False,False,False,True,False,1,isolation_forest,SUSPICIOUS,MULTIVARIATE_ANOMALY
1020,2026-08-16T16:15:00Z,1,Tulkarem,humidity,53.74,False,False,False,False,True,False,1,isolation_forest,SUSPICIOUS,MULTIVARIATE_ANOMALY
1020,2026-08-16T16:15:00Z,1,Tulkarem,aqi,113.0,False,False,False,False,True,False,1,isolation_forest,SUSPICIOUS,MULTIVARIATE_ANOMALY
1021,2026-08-16T16:30:00Z,1,Tulkarem,pm25,18.33,False,False,False,False,True,False,1,isolation_forest,SUSPICIOUS,MULTIVARIATE_ANOMALY
1021,2026-08-16T16:30:00Z,1,Tulkarem,temperature,26.27,False,False,False,False,True,False,1,isolation_forest,SUSPICIOUS,MULTIVARIATE_ANOMALY
1021,2026-08-16T16:30:00Z,1,Tulkarem,humidity,55.56,False,False,False,False,True,False,1,isolation_forest,SUSPICIOUS,MULTIVARIATE_ANOMALY
1021,2026-08-16T16:30:00Z,1,Tulkarem,aqi,102.0,False,False,False,False,True,False,1,isolation_forest,SUSPICIOUS,MULTIVARIATE_ANOMALY
1022,2026-08-16T16:45:00Z,1,Tulkarem,pm25,18.41,False,False,False,False,True,False,1,isolation_forest,SUSPICIOUS,MULTIVARIATE_ANOMALY
1022,2026-08-16T16:45:00Z,1,Tulkarem,temperature,26.04,False,False,False,False,True,False,1,isolation_forest,SUSPICIOUS,MULTIVARIATE_ANOMALY
1022,2026-08-16T16:45:00Z,1,Tulkarem,humidity,56.11,False,False,False,False,True,False,1,isolation_forest,SUSPICIOUS,MULTIVARIATE_ANOMALY
1022,2026-08-16T16:45:00Z,1,Tulkarem,aqi,102.0,False,False,False,False,True,False,1,isolation_forest,SUSPICIOUS,MULTIVARIATE_ANOMALY
1023,2026-08-16T17:00:00Z,1,Tulkarem,pm25,18.39,False,False,False,False,False,True,1,lof,NORMAL,MULTIVARIATE_ANOMALY
1023,2026-08-16T17:00:00Z,1,Tulkarem,temperature,25.92,False,False,False,False,False,True,1,lof,NORMAL,MULTIVARIATE_ANOMALY
1023,2026-08-16T17:00:00Z,1,Tulkarem,humidity,57.5,False,False,False,False,False,True,1,lof,NORMAL,MULTIVARIATE_ANOMALY
1023,2026-08-16T17:00:00Z,1,Tulkarem,no2,12.22,False,False,False,False,False,True,1,lof,NORMAL,MULTIVARIATE_ANOMALY
1023,2026-08-16T17:00:00Z,1,Tulkarem,o3,14.32,False,False,False,False,False,True,1,lof,NORMAL,MULTIVARIATE_ANOMALY
1023,2026-08-16T17:00:00Z,1,Tulkarem,aqi,102.0,False,False,False,False,False,True,1,lof,NORMAL,MULTIVARIATE_ANOMALY
5110,2026-08-17T12:45:00Z,5,Nablus,pm25,8.54,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
5110,2026-08-17T12:45:00Z,5,Nablus,temperature,40.4,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
5110,2026-08-17T12:45:00Z,5,Nablus,humidity,32.88,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
5110,2026-08-17T12:45:00Z,5,Nablus,aqi,47.0,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
4282,2026-08-17T13:00:00Z,4,Nablus,pm25,7.43,False,False,False,False,True,False,1,isolation_forest,NORMAL,LIKELY_ENVIRONMENTAL_EVENT
4282,2026-08-17T13:00:00Z,4,Nablus,temperature,42.8,False,False,False,False,True,False,1,isolation_forest,NORMAL,LIKELY_ENVIRONMENTAL_EVENT
4282,2026-08-17T13:00:00Z,4,Nablus,humidity,33.31,False,False,False,False,True,False,1,isolation_forest,NORMAL,LIKELY_ENVIRONMENTAL_EVENT
