sensor_id,city,feature,lag_minutes,lag,autocorrelation,absolute_autocorrelation,pacf,n_observations
4,Nablus,aqi,1440,24 h,0.3687924548054945,0.3687924548054945,-0.020417141341705337,1494
1,Tulkarem,no2,120,2 h,0.3561546629393862,0.3561546629393862,0.022281013280362225,1613
5,Nablus,pm25,360,6 h,0.346391540815437,0.346391540815437,0.007856234600925884,777
2,Nablus,aqi,720,12 h,0.3378445999307267,0.3378445999307267,0.012466059585917537,1528
1,Tulkarem,no2,180,3 h,0.31854502218413444,0.31854502218413444,0.01776079594260508,1609
1,Tulkarem,pm25,1440,24 h,0.3056869789804034,0.3056869789804034,-0.03440073918846572,1523
2,Nablus,aqi,1440,24 h,0.2844726190938192,0.2844726190938192,0.008429335087272758,1481
1,Tulkarem,aqi,1440,24 h,0.26330913161097746,0.26330913161097746,-0.020177475701940693,1525
2,Nablus,pm25,720,12 h,0.25028069860931795,0.25028069860931795,-0.008377427925859372,1528
4,Nablus,aqi,720,12 h,0.24986965705986597,0.24986965705986597,0.022968380367494323,1541
5,Nablus,aqi,360,6 h,0.2462280751097269,0.2462280751097269,-0.13089659453711547,777
5,Nablus,aqi,1440,24 h,0.24527991405708682,0.24527991405708682,0.0057841463307217195,635
1,Tulkarem,no2,720,12 h,-0.20558194574996452,0.20558194574996452,-0.012477081336198192,1573
1,Tulkarem,aqi,720,12 h,0.16616188966246692,0.16616188966246692,0.018489524986820688,1573
4,Nablus,pm25,720,12 h,0.16286450301518,0.16286450301518,-0.0013807873385018727,1541
1,Tulkarem,pm25,720,12 h,0.15800517386320745,0.15800517386320745,0.03158000370633773,1571
5,Nablus,temperature,360,6 h,-0.1424076504202856,0.1424076504202856,-0.027593981626413168,777
2,Nablus,humidity,720,12 h,0.1332950105930257,0.1332950105930257,-0.018531628385310545,1528
2,Nablus,temperature,360,6 h,0.09935194357411205,0.09935194357411205,-0.04005145040800444,1553
5,Nablus,humidity,360,6 h,-0.0924797851074824,0.0924797851074824,-0.054982356552583316,777
1,Tulkarem,no2,360,6 h,0.0881607107304379,0.0881607107304379,-0.024035613178563568,1598
5,Nablus,pm25,720,12 h,-0.06632340387528754,0.06632340387528754,-0.031968694744251534,729
1,Tulkarem,o3,360,6 h,0.055781019922272065,0.055781019922272065,-0.05058200990760336,1598
1,Tulkarem,o3,720,12 h,0.04668561595311923,0.04668561595311923,-0.014343116104432719,1573
4,Nablus,humidity,720,12 h,0.020875993134249735,0.020875993134249735,0.05271852702840836,1541
1,Tulkarem,humidity,360,6 h,0.016524407461124577,0.016524407461124577,-0.028289111289738773,1596
1,Tulkarem,temperature,360,6 h,-0.012473132901842694,0.012473132901842694,-0.03142780849504016,1598
5,Nablus,aqi,720,12 h,-0.00998219418082232,0.00998219418082232,-0.010589337563405854,729
4,Nablus,temperature,360,6 h,0.0025052290555040717,0.0025052290555040717,-0.01344832981658135,1566
